history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MICEXINDEXCF;2013-04-11;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1401.73;1425.19;1428.84;1397.82;29775114562;;;2;4597805773999.32;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-12;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1385.84;1400.92;1401.46;1380.57;26881547102;;;2;4545695451169.55;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1359.69;1385.62;1387.94;1351.83;36136942147;;;2;4459925087360.65;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-16;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1352.37;1358.23;1366.45;1349.93;28185620093;;;2;4435921503797.14;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-17;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1335.89;1353.41;1358.61;1328.84;31350713378;;;2;4381847280135.27;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-18;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1335.21;1335.91;1350.67;1333.73;28941395839;;;2;4379628468399.73;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-19;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1338.43;1335.57;1346.39;1330.02;23559778621;;;2;4390171862238.04;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1336.84;1338.67;1354.84;1324.58;28348752264;;;2;4384960938021.55;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-23;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1339.91;1337.22;1342.79;1320.73;27073966007;;;2;4395044557880.13;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-24;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1377.01;1339.51;1378.03;1337.53;37947228082;;;2;4516740039325.29;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-25;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1372.2;1377.33;1386.31;1368.05;39433254295;;;2;4500971108026.07;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-26;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1372.04;1372.5;1375.73;1358.28;30084465483;;;2;4500422037921.16;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1362.57;1373.57;1380.1;1360.54;21513847452;;;2;4469376040033.6;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-04-30;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1385.88;1363.38;1389.76;1360.58;38266511047;;;2;4545828711284.87;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-02;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1376.56;1385.88;1386.69;1369.52;18339627176;;;2;4515257192062.81;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-03;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1408.03;1377.45;1408.05;1377.14;20213565417;;;2;4618487179724.43;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-06;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1413.43;1408.03;1417.99;1406.2;20362452085;;;2;4636195729319.12;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-07;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1430.18;1413.02;1431.06;1407.95;33425365199;;;2;4691141710155.37;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-08;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1432.94;1430.12;1436.07;1421.41;23893555999;;;2;4700175522894.17;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-10;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1426.25;1431.31;1446.34;1421.53;14910307256;;;2;4678255643889.34;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-13;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1416.5;1426.25;1427.03;1409.34;30681153085;;;2;4646270498701.45;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-14;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1405.76;1414.79;1421.14;1398.65;31353415787;;;2;4611041304733.78;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1391.98;1405.65;1409.65;1384.97;27987573687;;;2;4565844803354.76;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-16;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1373.65;1392.54;1395.17;1373.1;26998112102;;;2;4505703596584.12;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-17;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1401.79;1373.53;1405.32;1372.57;27213515506;;;2;4598007527975.08;RUB;3280102934.000000
SNDX;MICEXINDEXCF;2013-05-20;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1406.86;1401.43;1413.42;1399.68;25951733595;;;2;4614635334378;RUB;
SNDX;MICEXINDEXCF;2013-05-21;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1422.99;1406.94;1425.79;1399.41;27869967867;;;2;4667555244479.6;RUB;
SNDX;MICEXINDEXCF;2013-05-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1448.42;1423.11;1453.69;1422.4;37591516826;;;2;4750964980081.49;RUB;
SNDX;MICEXINDEXCF;2013-05-23;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1396.91;1448.56;1449.62;1393.12;36241575776;;;2;4582003845175.88;RUB;
SNDX;MICEXINDEXCF;2013-05-24;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1380.88;1397.75;1404.88;1376.22;31696921130;;;2;4529421837130.13;RUB;
SNDX;MICEXINDEXCF;2013-05-27;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1378.29;1380.92;1389.96;1373.2;14169413565;;;2;4520931622214.97;RUB;
SNDX;MICEXINDEXCF;2013-05-28;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1397.72;1378.25;1404.42;1378.07;27002142678;;;2;4584679850654.7;RUB;
SNDX;MICEXINDEXCF;2013-05-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1361.43;1397.54;1397.54;1360.89;32223300702;;;2;0;RUB;
SNDX;MICEXINDEXCF;2013-05-30;Индекс МосБиржи (архив);Индекс МосБиржи (архив);1361.26;1361.16;1373.37;1355.4;33563610773;;;2;4465077369014.84;RUB;


