history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MICEXINDEXCF;1997-10-10;Индекс МосБиржи (архив);Индекс МосБиржи (архив);106.56;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-13;Индекс МосБиржи (архив);Индекс МосБиржи (архив);108.54;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-14;Индекс МосБиржи (архив);Индекс МосБиржи (архив);111.44;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-15;Индекс МосБиржи (архив);Индекс МосБиржи (архив);109.65;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-16;Индекс МосБиржи (архив);Индекс МосБиржи (архив);109.68;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-17;Индекс МосБиржи (архив);Индекс МосБиржи (архив);107.9;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-20;Индекс МосБиржи (архив);Индекс МосБиржи (архив);107.46;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-21;Индекс МосБиржи (архив);Индекс МосБиржи (архив);109.39;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-22;Индекс МосБиржи (архив);Индекс МосБиржи (архив);111.19;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-23;Индекс МосБиржи (архив);Индекс МосБиржи (архив);106.82;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-24;Индекс МосБиржи (архив);Индекс МосБиржи (архив);105.33;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-27;Индекс МосБиржи (архив);Индекс МосБиржи (архив);99.65;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-28;Индекс МосБиржи (архив);Индекс МосБиржи (архив);78.91;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-29;Индекс МосБиржи (архив);Индекс МосБиржи (архив);94.73;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-30;Индекс МосБиржи (архив);Индекс МосБиржи (архив);85.27;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-10-31;Индекс МосБиржи (архив);Индекс МосБиржи (архив);86.46;;;;;;;2;;RUB;
SNDX;MICEXINDEXCF;1997-11-03;Индекс МосБиржи (архив);Индекс МосБиржи (архив);89.34;;;;;;;2;;RUB;
